,icd_code,sum,icd_eng,icd_kor,symptom
291,R20,4,Disturbances of skin sensation,피부감각의 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
292,R26,114,Abnormalities of gait and mobility,보행과 이동의 이상,소아기호증||수유 곤란||무증상||근육의 뒤틀림||삼키기 곤란||천식||빈호흡||운동 시 호흡곤란||잦은 상기도 감염||목의 통증||부정맥||피학증||무릎 부위 부종||발육부전||불임||발음 이상||출혈 경향성||얼굴모양변화||근육경련||피로감||체중감소||월경과다||가슴 두근거림||청색증||호흡곤란||사경||색깔이 퇴색해보임||태동의 위치 이상||근육긴장||호기의 증가||노출증||비정상적 성적 기호||비정상적인 진통||낮은 자존감||고탄산증||실신||저산소증||빈혈||비정상적 질출혈||무릎 부위 통증||가학증||여드름||흉곽 팽윤||접촉도착증||색맹||근육강직||저작장애||눈꺼풀의 떨림||관절 운동성 감소||잦은 감염||생리불순||열||언어장애||피부 긴장도 저하||관음증||눈꺼풀 처짐증
293,R27,4,Other lack of coordination,기타 협조결여,
294,R29,73,Other symptoms and signs involving the nervous and musculoskeletal systems,신경계통 및 근골격계통의 기타 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
295,R31,10,Unspecified haematuria,상세불명의 혈뇨,옆구리 통증||하지부종||혈뇨||빈뇨||진한 소변색||열||배뇨 시 통증
296,R32,16,Unspecified urinary incontinence,상세불명의 요실금,소변이 샘||배뇨 시 통증||요통||긴박뇨||빈뇨||진한 소변색||복부 통증||악취
297,R33,22,Retention of urine,소변정체,소변을 볼 수 없음||방광 팽만||복부 통증
298,R34,23,Anuria and oliguria,무뇨 및 핍뇨,
299,R39,66,Other symptoms and signs involving the urinary system,비뇨계통의 기타 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
300,R40,39,"Somnolence, stupor and coma","기면, 혼미 및 혼수",전신 부종||의식 저하||자세 불안정||서맥||혼수||무의식||인지장애||저혈압||감정 변화||저체온||불면증||권태감||기억장애||혼돈
301,R41,117,Other symptoms and signs involving cognitive functions and awareness,인지기능 및 자각에 관련된 기타 증상 및 징후,우울||무관심||판단력장애||기억장애||언어장애
302,R43,27,Disturbances of smell and taste,후각 및 미각 장애,후각장애
303,R44,4,Other symptoms and signs involving general sensations and perceptions,일반적 감각 및 지각에 관련된 기타 증상 및 징후,이명||어지러움||청력장애
304,R45,29,Symptoms and signs involving emotional state,정서상태에 관련된 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
305,R46,6,Symptoms and signs involving appearance and behaviour,외양 및 행동에 관련된 증상 및 징후,무증상||환각||질병에 대한 공포||말초 통증||비현실감||병원 쇼핑||환청||사지의 창백한 현상||우울||고혈압||손의 통증||서맥||청색증||기운없음||저림||복시||두통||저혈압||불안||불면증||손떨림||궤양
306,R47,20,"Speech disturbances, NEC",달리 분류되지 않은 언어장애,
307,R50,917,Fever of other and unknown origin,기타 및 원인미상의 열,"수유 곤란||다발성 관절염||피로감||폐부종||발끝으로 설 수 없음||무증상||근육통||삼키기 곤란||환각||오심||환부 통증||수막자극증상||발진||망상||황달||환시||결절||발음 이상||생식기 통증||간부전||비문증||발 굴곡 운동의 제한||목의 통증||눈부심||어깨 움직임의 제한||우울||입술, 입천장의 기형||청력장애||관절통||와해된 행동||단백뇨||오한||안구내 출혈||결막염||사물이 찌그러져 보임||호흡곤란||와해된 언어||가슴 두근거림||빈맥||얼굴부종||설사||딸기혀||이상행동||두통||어깨의 통증||배뇨 시 통증||콧물||체중감소||얼굴형태의 이상||피해망상||광시증||눈의 충혈||생리불순||기침||반점||가슴 통증||치아발달장애||복부 통증||권태감||편도선 비대||구토||신부전||손가락 운동장애||환청||식욕부진||시야장애||열||어깨 잡음||피부 긴장도 저하||심인성 쇼크||뇌염증상||비출혈"
308,R51,54,Headache,두통,눈이 무거운 느낌||오심||눈물흘림||구토||두통||압통||근육통||콧물||시력 감소||눈의 통증||박동성 통증||식욕부진||눈의 충혈||뇌압상승증상||코막힘||턱의 통증||빛이나 소리 공포증||편두통
309,R52,102,"Pain, NEC",달리 분류되지 않은 통증,팔의 통증||변비||압통||근육통||보챔||요통||환부 통증||목의 통증||전신 통증||뇌압상승증상||무릎 부위 부종||관절 불안정증||관절잡음||눈물흘림||무감각||미각이상||우울||피로감||어지러움||관절통||긴박뇨||박동성 통증||빈뇨||방사통||편두통||야간뇨||저림||혀의 통증||무릎 부위 통증||설사||코막힘||작열감||어깨의 통증||콧물||관절의 경직||피부 긴장도 저하||유방 통증||복부 불편감||가슴 통증||근력 약화||복부 통증||눈이 무거운 느낌||발작적인 울음||눈의 통증||관절 운동성 감소||발의 통증||수면장애||환부 부종||방광 팽만||근육경련
310,R53,316,Malaise and fatigue,병감 및 피로,무증상||탈수||손상 부위 통증||피로감||어지러움||차갑고 축축한 피부||식욕부진||전신 통증||수면장애||환부 부종||기억장애||권태감
311,R55,28,Syncope and collapse,실신 및 허탈,자율신경장애||서맥||의식 변화
312,R57,156,"Shock, NEC",달리 분류되지 않은 쇼크,설사||구토||두통||발진||저혈압||의식 불명||불안||열||피부소양감||호흡곤란||기침||가슴 통증||저림||빈맥
313,R59,8,Enlarged lymph nodes,림프절비대,
314,R60,30,"Oedema, NEC",달리 분류되지 않은 부종,얼굴부종||입 주변 부종||피부균열||눈 주변 부종||복부경련||근시||사지 부종||시야장애||청색증||폐부종||호흡곤란||피부 긴장도 저하||말초부종||기침||객혈||목 주변 부종
315,R63,42,Symptoms and signs concerning food and fluid intake,음식 및 수액 섭취에 관계된 증상 및 징후,오심||입 주변 부종||눈물흘림||구토||소양감||의식 저하||콧물||두드러기||설사||가슴 답답||호흡곤란||어지러움||숨막히는 느낌||복부 통증||빈맥
316,R64,6,Cachexia,카켁시아,
317,R65,224,Systemic Inflammatory Response Syndrome,전신염증반응증후군,
318,R68,640,Other general symptoms and signs,기타 전신 증상 및 징후,레이노이드 현상||얼굴의 나비모양 홍반||소화불량||광과민성||관절염||우울||두통||체중감소||관절통||주먹을 쥐기 힘듬||발진||피부경화||피로감||구강궤양||열
319,R69,28,Unknown and unspecified causes of morbidity,미상 및 상세불명의 병인,흉수||복수||뼈의 통증||심부전||다발성 장기부전 증상||림프 부종||폐동맥 고혈압||호흡곤란||기침
320,R73,23,Elevated blood glucose level,혈당치상승,
321,R74,71,Abnormal serum enzyme levels,이상혈청효소수치,
322,R77,12,Other abnormalities of plasma proteins,혈장단백질의 기타 이상,소아기호증||수유 곤란||무증상||근육의 뒤틀림||삼키기 곤란||천식||빈호흡||운동 시 호흡곤란||잦은 상기도 감염||목의 통증||부정맥||피학증||무릎 부위 부종||발육부전||불임||발음 이상||출혈 경향성||얼굴모양변화||근육경련||피로감||체중감소||월경과다||가슴 두근거림||청색증||호흡곤란||사경||색깔이 퇴색해보임||태동의 위치 이상||근육긴장||호기의 증가||노출증||비정상적 성적 기호||비정상적인 진통||낮은 자존감||고탄산증||실신||저산소증||빈혈||비정상적 질출혈||무릎 부위 통증||가학증||여드름||흉곽 팽윤||접촉도착증||색맹||근육강직||저작장애||눈꺼풀의 떨림||관절 운동성 감소||잦은 감염||생리불순||열||언어장애||피부 긴장도 저하||관음증||눈꺼풀 처짐증
323,R79,39,Other abnormal findings of blood chemistry,혈액화학의 기타 이상소견,
324,R91,107,Abnormal findings on diagnostic imaging of lung,폐의 진단영상검사상 이상소견,무증상||체중감소||운동 시 호흡곤란||열||호흡곤란||기침||가래||화농성 객담
325,R94,69,Abnormal results of function studies,기능검사의 이상결과,
326,R96,126,"Other sudden death, cause unknown",원인 미상의 기타 돌연사,오심||오한||구토||근육통||심부전||다발성 장기부전 증상||발진||폐동맥 고혈압||열||호흡곤란||기침
327,R98,9,Unattended death,지켜본 사람이 없었던 사망,
328,S01,3,Open wound of head,머리의 열린상처,압통||눈이 무거운 느낌||뇌압상승증상||박동성 통증
329,S06,18,Intracranial injury,두개내손상,
330,S22,3,"Fracture of rib(s), sternum and thoracic spine","늑골, 흉골 및 흉추의 골절",개 폐구 장애||점상 출혈||안구 이상||얼굴부종||압통||하지부종||손목에 심한 붓기와 통증||환부 통증||안면부 열상||무릎 부위 부종||부정교합||치아의 탈락||골반 통증||복시||뼈의 변형||손상 부위 출혈||눈 주변 부종||근육강직||치아 흔들림||무릎 부위 통증||발음 이상||감각 이상||안면부 출혈||두통||손상부위 촉각 소실||다리변형||시력 감소||발적||다리 통증||다리의 길이가 틀림||손상 부위 통증||저작장애||손가락 운동장애||팔의 통증||무증상||저림||마찰음||환부 부종||비출혈
331,S32,12,Fracture of lumbar spine and pelvis,요추 및 골반의 골절,자세이상||감각 이상||보행이상||하지 마비||요통||파행||다리 통증||방사통||하지의 근력약화||저림
332,S42,8,Fracture of shoulder and upper arm,어깨 및 위팔의 골절,관절 운동성 감소||어깨의 통증||어깨 움직임의 제한||어깨근육 약화||팔의 길이가 달라짐||어깨 잡음||마찰음||환부 부종
333,S63,1,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level","손목 및 손부위의 관절 및 인대의 탈구, 염좌 및 긴장",감각 이상||손가락 운동장애||손목에 심한 붓기와 통증||손의 통증||뼈의 변형||손가락 힘이 약해짐||저림
334,S72,25,Fracture of femur,대퇴골의 골절,개 폐구 장애||점상 출혈||안구 이상||얼굴부종||압통||하지부종||손목에 심한 붓기와 통증||환부 통증||안면부 열상||무릎 부위 부종||부정교합||치아의 탈락||골반 통증||복시||뼈의 변형||손상 부위 출혈||눈 주변 부종||근육강직||치아 흔들림||무릎 부위 통증||발음 이상||감각 이상||안면부 출혈||두통||손상부위 촉각 소실||다리변형||시력 감소||발적||다리 통증||다리의 길이가 틀림||손상 부위 통증||저작장애||손가락 운동장애||팔의 통증||무증상||저림||마찰음||환부 부종||비출혈
335,T79,10,Certain early complications of trauma,외상의 특정 조기합병증,
336,T81,25,"Complications of procedures, NEC",달리 분류되지 않은 처치의 합병증,
337,T82,6,"Complications of cardiac and vascular prosthetic devices, implants and grafts","심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증",수유 곤란||오심||의식 변화||목소리 변화||급성 신부전||무산소 발작||운동 시 호흡곤란||식욕부진||돌연사||자율신경장애||부정맥||발육부전||심음 감소||피로감||어지러움||오한||서맥||청색증||호흡곤란||가슴 두근거림||빈맥||두통||방사통||심부전||실신||저혈압||반점||가슴 통증||경정맥 확장||암점||무증상||시야장애||열||기침
338,T85,6,"Complications of other internal prosthetic devices, implants and grafts","기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",
339,U04,34,Severe acute respiratory syndrome[SARS],중증급성호흡증후군[SARS],
340,U07,960,Emergency use of U07,U07의 응급사용,
341,U50,16,Disease Pattern of Six Excesses,육음병증(六淫病證),
342,U69,11,Lung deficiency pattern,폐허증(肺虛證),
343,U82,19,Resistance to betalactam antibiotics,베타락탐항생제 내성,오심||육아조직||설사||저혈압||환부 통증||복부팽만감||오한||열||발적||환부 부종||복부 불편감||복부 통증
344,V01,7,Pedestrian injured in collision with pedal cycle,자전거와 충돌로 다친 보행자,
345,V0182,4,,,Empty Icd Name
346,W01,5,"Fall on same level from slipping, tripping and stumbling","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상",오심||오한||복수||의식 변화||질식||환부 통증||발진||배뇨장애||황달||감각 과민||객혈||감각 이상||간부전||간비대||피로감||어지러움||청력장애||혼수||장마비||서맥||청색증||눈 주변 부종||호흡곤란||환부의 분비물||가슴 통증||두통||심부전||소양감||저혈압||폐출혈||빈혈||눈의 충혈||발적||이명||경련||서호흡||구토||물집||활력징후 이상||열||비장비대||기억장애
347,W17,10,Other fall from one level to another,기타 한 면에서 다른 면으로 넘어짐,"코골이||구강호흡||복수||변비||수면 무호흡||청력장애||발한||포만감||오심||이명||운동 시 호흡곤란||발진||환부의 분비물||황달||트림||배뇨장애||전신 부종||가래||사시||손,발,겨드랑이 발한||간부전||의식 변화||서호흡||장마비||우울||피로감||어지러움||체중감소||감각 과민||부분적 음순융합||혼수||서맥||청색증||눈 주변 부종||저체온||피부염증||무관심||삼키기 곤란||가슴 쓰림||외부 생식기가 모호함||설사||판단력장애||근육통||두통||심부전||소양감||옷 액와 부분 변색||저혈압||폐출혈||말초부종||빈혈||악성종양발생||식욕증가||눈의 충혈||호흡곤란||식후 불쾌감||사춘기 지연||간비대||경련||복부 통증||음핵비대||가슴 두근거림||질식||구토||무월경||물집||체중증가||기침||목의 통증||심방 부정맥||활력징후 이상||열||언어장애||피부 긴장도 저하||비장비대||기억장애||미소음경(micropenis)||대사성 산증||만성 부비동염||겨드랑이 악취"
348,W18,6,Other fall on same level,동일면상에서의 기타 낙상,
349,W19,18,Unspecified fall,상세불명의 낙상,
350,Y42,4,"Hormones and their synthetic substitutes and antagonists, NEC",달리 분류되지 않은 호르몬 및 그들의 합성대치물 및 길항제,"자궁이 없음||탈수||복부비만||의식 저하||원형, 타원형의 탈모||무월경||구강건조||표준 신장의 3%이하||피로감||다뇨||경련||구토||갈증||열||기운없음||질은 없거나 짧은 맹관||사춘기 지연||피부 건조"
351,Y44,5,Agents primarily affecting blood constituents,주로 혈액성분에 영향을 주는 제제,
352,Y66,7,Nonadministration of surgical and medical care,외과적 및 내과적 치료의 불이행,
353,Y95,26,Nosocomial condition,병원과 관련된 상태,우울||무의식||안면홍조||불안||성욕감퇴||수면장애||피부 긴장도 저하||골다공증||가슴 두근거림||발한||복부 통증
354,Z00,10,General examination and investigation of persons without complaint and reported diagnosis,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,무증상||오심||구토||근육통||오한||발진||열
355,Z03,151,Medical observation and evaluation for suspected diseases and conditions,의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,비현실감||병원 쇼핑||눈꺼풀의 떨림||의식 저하||온몸이 떨림||경련||손떨림||뇌전증 발작||질병에 대한 공포
356,Z08,6,Follow-up examination after treatment for malignant neoplasms,악성 신생물에 대한 치료후 추적검사,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
357,Z09,41,Follow-up examination after treatment for conditions other than malignant neoplasms,악성 신생물 이외의 병태에 대한 치료후 추적검사,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
358,Z11,7,Special screening examination  for infectious and parasitic diseases,감염성 및 기생충성 질환에 대한 특수선별검사,압통||근육통||삼키기 곤란||발진||가래||식욕부진||눈물흘림||눈부심||오한||기운없음||피부염증||두통||열감||저혈압||눈의 충혈||호흡곤란||반점||가슴 통증||눈의 통증||목의 통증||안면홍조||열||환부 부종||기침||권태감
359,Z13,95,Special screening examination for other diseases and disorders,기타 질환 및 장애에 대한 특수선별검사,"변비||종아리 근육의 비대||객혈||안면마비||출혈 경향성||사지의 창백한 현상||시림||손의 통증||오한||청색증||피부소양감||피부궤양||탈수||근위축||호흡기감염||근력 약화||근육강직||악취||비장비대||난청||천명음||궤양||배변습관의 변화||삼키기 곤란||다발성 장기부전 증상||운동 시 호흡곤란||위장관 출혈||간부전||근육경련||피로감||어지러움||학습장애||흉곽 팽윤||설사||감각 이상||멍||혈전증||척추 측만||반신마비||빈혈||괴사||피부색 변화||혈변||간비대||관절 구축||복부 통증||곤봉지||시력 감소||소변량 감소||점액변||기침||비정상적 질 분비물||전신 부종||손,발톱이 갈라짐||복부팽만감||피부 각질||황달||마비||말초 통증||발음 이상||옆구리 통증||청력장애||태아 저체중||복시||두통||눈꺼풀의 떨림||발가락의 변형||안면홍조||폐동맥 고혈압||무뇨||발가락 사이 갈라짐||무증상||오심||복수||말초의 허혈||골반 통증||근육의 뒤틀림||운동장애||가래||체중감소||혼수||피부 건조||호흡곤란||사경||저림||근육긴장||심부전||소양감||폐출혈||정신 지체||안검하수||시야장애||열||언어장애"
360,Z20,463,Contact with and exposure to communicable diseases,전염성 질환에 접촉 및 노출,피부소양감||발진||두통||압통||근육통||삼키기 곤란||물집||목의 통증||열감||안면홍조||오한||열||기운없음||권태감||식욕부진||발한
361,Z21,11,Asymptomatic human immunodeficiency virus [HIV] infection status,무증상 인체면역결핍바이러스 감염상태,무증상
362,Z22,8,Carrier of infectious disease,감염성 질환의 보균자,압통||근육통||삼키기 곤란||발진||가래||식욕부진||눈물흘림||눈부심||오한||기운없음||피부염증||두통||열감||저혈압||눈의 충혈||호흡곤란||반점||가슴 통증||눈의 통증||목의 통증||안면홍조||열||환부 부종||기침||권태감
363,Z29,1360,Need for other prophylactic measures,기타 예방적 조치의 필요,
364,Z34,3,Supervision of normal pregnancy,정상임신의 관리,
365,Z35,18,Supervision of high-risk pregnancy,고위험임신의 관리,
366,Z37,29,Outcome of delivery,분만의 결과,
367,Z39,5,Postpartum care and examination,분만후 관리 및 검사,
368,Z43,8,Attention to artificial openings,인공개구에 대한 관리,
369,Z45,11,Adjustment and management of implanted device,이식장치의 조정 및 관리,
370,Z46,14,Fitting and adjustment of other devices,기타 장치의 부착 및 조정,
371,Z48,16,Other surgical follow-up care,기타 외과적 추적치료,
372,Z49,41,Care involving dialysis,투석을 포함한 치료,
373,Z50,140,Care involving use of rehabilitation procedures,재활처치를 포함한 치료,
374,Z51,237,Other medical care,기타 의학적 관리,
375,Z53,13,"Persons encountering health services for specific procedures, not carried out",수행되지 않은 특정 처치를 위해 보건서비스에 접하고 있는 사람,무증상||결절
376,Z59,54,Problems related to housing and economic circumstances,주택 및 경제적 상황에 관련된 문제,
377,Z60,59,Problems related to social environment,사회적 환경에 관련된 문제,직무 태만||나쁜 품행||야만적 행위||약물남용
378,Z63,13,"Other problems related to primary support group, including family circumstances",가족상황을 포함하여 일차지원집단에 관련된 기타 문제,
379,Z68,1,,,Empty Icd Name
380,Z71,326,"Persons encountering health services for other counselling and medical advice, NEC",달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람,무증상||결절
381,Z74,185,Problems related to care-provider dependency,간호제공자 의존성에 관련된 문제,
382,Z75,90,Problems related to medical facilities and other health care,의료시설 및 기타 보건관리에 관련된 문제,
383,Z76,37,Persons encountering health services in other circumstances,기타 상황에서 보건서비스와 접하고 있는 사람,무증상||결절
384,Z78,3,,,Empty Icd Name
385,Z79,109,,,Empty Icd Name
386,Z85,25,Personal history of malignant neoplasm,악성 신생물의 개인력,무증상||오심||복부비만||전신 부종||복수||유루증||골반 통증||점 안에 다른 색 피부||질의 건조함||요통||설사||흑색변||복부팽만감||식욕부진||진한 소변색||황달||부정맥||성선 기능 저하증||암 부위별로 다름||결절||혈변||불임||소화불량||목소리 변화||가슴 통증||생식기 출혈||피부홍조||체중감소||고혈압||광시증||시야장애||성욕감퇴||색소 침착||근육강직||피부궤양||불안||당뇨||비문증||천식||회색변||피부소양감||근위축||두통||성기능 장애||방사통||덩어리가 만져짐||시력 감소||뇌출혈||눈의 충혈||호흡곤란||복부 불편감||반점||여드름||뇌전증 발작||기침||복부 통증||빈호흡||피로감||비정상적 질출혈||달모양의 둥근 얼굴||구토||잔변감||호르몬변화||토혈||배변습관의 변화||종양부위 부종||빈혈||위장관 출혈||안면홍조||점액변||생리불순||열||장폐색||기억장애||대사성 산증
387,Z86,20,Personal history of certain other diseases,특정 기타 질환의 개인력,
388,Z87,33,Personal history of other diseases and conditions,기타 질환 및 병태의 개인력,"변비||종아리 근육의 비대||객혈||안면마비||출혈 경향성||사지의 창백한 현상||시림||손의 통증||오한||청색증||피부소양감||피부궤양||탈수||근위축||호흡기감염||근력 약화||근육강직||악취||비장비대||난청||천명음||궤양||배변습관의 변화||삼키기 곤란||다발성 장기부전 증상||운동 시 호흡곤란||위장관 출혈||간부전||근육경련||피로감||어지러움||학습장애||흉곽 팽윤||설사||감각 이상||멍||혈전증||척추 측만||반신마비||빈혈||괴사||피부색 변화||혈변||간비대||관절 구축||복부 통증||곤봉지||시력 감소||소변량 감소||점액변||기침||비정상적 질 분비물||전신 부종||손,발톱이 갈라짐||복부팽만감||피부 각질||황달||마비||말초 통증||발음 이상||옆구리 통증||청력장애||태아 저체중||복시||두통||눈꺼풀의 떨림||발가락의 변형||안면홍조||폐동맥 고혈압||무뇨||발가락 사이 갈라짐||무증상||오심||복수||말초의 허혈||골반 통증||근육의 뒤틀림||운동장애||가래||체중감소||혼수||피부 건조||호흡곤란||사경||저림||근육긴장||심부전||소양감||폐출혈||정신 지체||안검하수||시야장애||열||언어장애"
389,Z88,67,"Personal history of allergy to drugs, medicaments and biological substances","약물, 약제 및 생물학적 물질에 대한 앨러지의 개인력",감각 이상||의식 변화||물집||질식||환부 통증||청색증||발적||호흡곤란
390,Z90,8,"Acquired absence of organs, NEC",달리 분류되지 않은 기관의 후천성 결여,창백||구토||악성종양발생||발진||림프 부종||식욕부진||진한 소변색||열||기운없음||비장비대||간비대||복부 통증||황달
391,Z91,4,"Personal history of risk-factors, NEC",달리 분류되지 않은 위험 요인의 개인력,
392,Z92,119,Personal history of medical treatment,의학적 치료의 개인력,
393,Z93,1,Artificial opening status,인공개구상태,
394,Z94,37,Transplanted organ and tissue status,이식된 기관 및 조직의 상태,흉곽 팽윤||수유 곤란||삼키기 곤란||천식||운동 시 호흡곤란||목의 통증||가래||객혈||목소리 변화||체중감소||호흡곤란||사래걸림||반복되는 폐렴||호기의 증가||목의 이물감||고탄산증||저산소증||빈혈||가슴 통증||곤봉지||무증상||기침||천명음
395,Z95,114,Presence of cardiac and vascular implants and grafts,심장 및 혈관 삽입물 및 이식편의 존재,수유 곤란||오심||의식 변화||목소리 변화||급성 신부전||무산소 발작||운동 시 호흡곤란||식욕부진||돌연사||자율신경장애||부정맥||발육부전||심음 감소||피로감||어지러움||오한||서맥||청색증||호흡곤란||가슴 두근거림||빈맥||두통||방사통||심부전||실신||저혈압||반점||가슴 통증||경정맥 확장||암점||무증상||시야장애||열||기침
396,Z96,63,Presence of other functional implants,기타 기능성 삽입물의 존재,구토||설사||비정상적 질출혈||소화불량||변비||포만감||어지러움||체중감소||저혈압||복부팽만감||가슴 쓰림||트림||식후 불쾌감||가슴 두근거림||복부 통증||빈맥
397,Z97,6,Presence of other devices,기타 장치의 존재,
398,Z98,4,Other postsurgical states,기타 수술후 상태,우울||무의식||안면홍조||불안||성욕감퇴||수면장애||피부 긴장도 저하||골다공증||가슴 두근거림||발한||복부 통증
399,Z99,114,"Dependence on enabling machines and devices, NEC",달리 분류되지 않은 기능성 기계 및 장치에 대한 의존,구토||설사||비정상적 질출혈||소화불량||변비||포만감||어지러움||체중감소||저혈압||복부팽만감||가슴 쓰림||트림||식후 불쾌감||가슴 두근거림||복부 통증||빈맥
